Time,HeartRate
00:17:55,141
00:18:00,136
00:18:05,138
00:18:10,138
00:18:15,139
00:18:20,146
00:18:25,134
00:18:30,142
00:18:35,135
00:18:40,139
00:18:45,144
00:18:50,141
00:18:55,138
00:19:00,139
00:19:05,143
00:19:10,139
00:19:15,142
00:19:20,142
00:19:25,140
00:19:30,149
00:19:35,144
00:19:40,137
00:19:45,143
00:19:50,141
00:19:55,146
00:20:00,158
00:20:05,159
00:20:10,160
00:20:15,160
00:20:20,154
00:20:25,156
00:20:30,155
00:20:35,154
00:20:40,159
00:20:45,155
00:20:50,151
00:20:55,155
00:21:00,158
00:21:05,154
00:21:10,147
00:21:15,149
00:21:20,153
00:21:25,147
00:21:30,150
00:21:35,150
00:21:40,145
00:21:45,147
00:21:50,138
00:21:55,143
00:22:00,144
00:22:05,141
00:22:10,148
00:22:15,139
00:22:20,141
00:22:25,142
00:22:30,145
00:22:35,137
00:22:40,143
00:22:45,139
00:22:50,136
00:22:55,139
00:23:00,138
00:23:05,135
00:23:10,136
00:23:15,134
00:23:20,135
00:23:25,136
00:23:30,137
00:23:35,130
00:23:40,137
00:23:45,127
00:23:50,130
00:23:55,132
00:24:00,130
00:24:05,127
00:24:10,128
00:24:15,126
00:24:20,126
00:24:25,129
00:24:30,127
00:24:35,123
00:24:40,127
00:24:45,125
00:24:50,125
00:24:55,124
00:25:00,120
00:25:05,120
00:25:10,123
00:25:15,122
00:25:20,119
00:25:25,119
00:25:30,121
00:25:35,116
00:25:40,118
00:25:45,116
00:25:50,115
00:25:55,118
00:26:00,116
00:26:05,116
00:26:10,116
00:26:15,113
00:26:20,114
00:26:25,110
00:26:30,111
00:26:35,110
00:26:40,110
00:26:45,110
00:26:50,106
00:26:55,113
00:27:00,104
00:27:05,103
00:27:10,108
00:27:15,107
00:27:20,106
00:27:25,105
00:27:30,103
00:27:35,100
00:27:40,102
00:27:45,99
00:27:50,103
00:27:55,99
00:28:00,97
00:28:05,98
00:28:10,99
00:28:15,96
00:28:20,95
00:28:25,97
00:28:30,96
00:28:35,93
00:28:40,93
00:28:45,94
00:28:50,89
00:28:55,89
00:29:00,90
00:29:05,90
00:29:10,91
00:29:15,93
00:29:20,91
00:29:25,88
00:29:30,88
00:29:35,85
00:29:40,86
00:29:45,85
00:29:50,86
00:29:55,83
